instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed 
17400,2017-01-18,4,2017,1,24,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17400,2017-01-18,4,2017,1,1,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17400,2017-01-18,4,2017,1,2,0,3,1,3,0.22731707317073171,0.22731707317073171,0.85,0.0508955223880597
17401,2017-01-18,4,2017,1,03,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17401,2017-01-18,4,2017,1,4,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17401,2017-01-18,4,2017,1,5,0,3,1,3,0.234390243902439,0.234390243902439,0.9,0.05985074626865671
17402,2017-01-18,4,2017,1,06,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17402,2017-01-18,4,2017,1,7,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17402,2017-01-18,4,2017,1,8,0,3,1,3,0.2519512195121951,0.2519512195121951,0.88,0.06656716417910448
17403,2017-01-18,4,2017,1,09,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17403,2017-01-18,4,2017,1,10,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17403,2017-01-18,4,2017,1,11,0,3,1,3,0.29292682926829267,0.29292682926829267,0.87,0.07791044776119403
17404,2017-01-18,4,2017,1,12,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17404,2017-01-18,4,2017,1,13,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17404,2017-01-18,4,2017,1,14,0,3,1,3,0.32682926829268294,0.32682926829268294,0.87,0.06268656716417911
17405,2017-01-18,4,2017,1,15,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17405,2017-01-18,4,2017,1,16,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17405,2017-01-18,4,2017,1,17,0,3,1,3,0.34804878048780485,0.34804878048780485,0.87,0.08865671641791045
17406,2017-01-18,4,2017,1,18,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17406,2017-01-18,4,2017,1,19,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17406,2017-01-18,4,2017,1,20,0,3,1,3,0.3251219512195122,0.3251219512195122,0.9,0.06582089552238807
17407,2017-01-18,4,2017,1,21,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17407,2017-01-18,4,2017,1,22,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17407,2017-01-18,4,2017,1,23,0,3,1,3,0.3129268292682927,0.3129268292682927,0.78,0.09492537313432836
17408,2017-01-19,4,2017,1,24,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17408,2017-01-19,4,2017,1,1,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17408,2017-01-19,4,2017,1,2,0,4,1,3,0.18560975609756097,0.18560975609756097,0.81,0.09343283582089552
17409,2017-01-19,4,2017,1,03,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
17409,2017-01-19,4,2017,1,4,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
17409,2017-01-19,4,2017,1,5,0,4,1,1,0.12414634146341463,0.12414634146341463,0.85,0.08298507462686566
