instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed 
17411,2017-01-20,4,2017,1,23,1,5,0,1,0.2521951219512195,0.2521951219512195,0.65,0.04134328358208955
17412,2017-01-21,4,2017,1,0,0,6,0,3,0.19585365853658535,0.19585365853658535,0.75,0.032985074626865674
17412,2017-01-21,4,2017,1,1,0,6,0,3,0.19585365853658535,0.19585365853658535,0.75,0.032985074626865674
17412,2017-01-21,4,2017,1,2,0,6,0,3,0.19585365853658535,0.19585365853658535,0.75,0.032985074626865674
17413,2017-01-21,4,2017,1,3,0,6,0,3,0.15390243902439024,0.15390243902439024,0.9,0.03328358208955224
17413,2017-01-21,4,2017,1,4,0,6,0,3,0.15390243902439024,0.15390243902439024,0.9,0.03328358208955224
17413,2017-01-21,4,2017,1,5,0,6,0,3,0.15390243902439024,0.15390243902439024,0.9,0.03328358208955224
17414,2017-01-21,4,2017,1,6,0,6,0,3,0.1329268292682927,0.1329268292682927,0.92,0.045074626865671645
17414,2017-01-21,4,2017,1,7,0,6,0,3,0.1329268292682927,0.1329268292682927,0.92,0.045074626865671645
17414,2017-01-21,4,2017,1,8,0,6,0,3,0.1329268292682927,0.1329268292682927,0.92,0.045074626865671645
17415,2017-01-21,4,2017,1,9,0,6,0,2,0.10658536585365853,0.10658536585365853,0.99,0.04641791044776119
17415,2017-01-21,4,2017,1,10,0,6,0,2,0.10658536585365853,0.10658536585365853,0.99,0.04641791044776119
17415,2017-01-21,4,2017,1,11,0,6,0,2,0.10658536585365853,0.10658536585365853,0.99,0.04641791044776119
17416,2017-01-21,4,2017,1,12,0,6,0,3,0.1226829268292683,0.1226829268292683,0.97,0.04641791044776119
17416,2017-01-21,4,2017,1,13,0,6,0,3,0.1226829268292683,0.1226829268292683,0.97,0.04641791044776119
17416,2017-01-21,4,2017,1,14,0,6,0,3,0.1226829268292683,0.1226829268292683,0.97,0.04641791044776119
17417,2017-01-21,4,2017,1,15,0,6,0,3,0.15804878048780488,0.15804878048780488,0.91,0.03492537313432836
17417,2017-01-21,4,2017,1,16,0,6,0,3,0.15804878048780488,0.15804878048780488,0.91,0.03492537313432836
17417,2017-01-21,4,2017,1,17,0,6,0,3,0.15804878048780488,0.15804878048780488,0.91,0.03492537313432836
17418,2017-01-21,4,2017,1,18,0,6,0,3,0.21121951219512194,0.21121951219512194,0.8,0.04283582089552239
17418,2017-01-21,4,2017,1,19,0,6,0,3,0.21121951219512194,0.21121951219512194,0.8,0.04283582089552239
17418,2017-01-21,4,2017,1,20,0,6,0,3,0.21121951219512194,0.21121951219512194,0.8,0.04283582089552239
17419,2017-01-21,4,2017,1,21,0,6,0,2,0.24341463414634149,0.24341463414634149,0.72,0.04149253731343283
17419,2017-01-21,4,2017,1,22,0,6,0,2,0.24341463414634149,0.24341463414634149,0.72,0.04149253731343283
17419,2017-01-21,4,2017,1,23,0,6,0,2,0.24341463414634149,0.24341463414634149,0.72,0.04149253731343283
